"id","nid","title","body","author_name","created_time","updated_time","event_type","name_of_speaker_affiliation","title_of_seminar_conference","venu","start_time","end_time","timezone"
11,"878","CFD ","Start: 7 Jul 2008 - 00:00 End: 12 Jul 2008 - 23:59 Computational Fluid Dynamics (CFD) is a computer simulation of ﬂuid ﬂow behaviour in and around   complex geometries  which is usually coupled with   related phenomena of reaction  heat  and masstransfer. The simulation results in prediction of the ﬂow ﬁelds and stress proﬁles in the domain of interest  which are very useful in the design and optimization of processes and equipments.","meena_m_n","18 Feb 2009 - 11:26","18 Feb 2009 - 12:49","SERC School/CEP Course/Workshop","Invited Speakers","CFD analysis in  Chemical Engg.","Room No. 240","7 Jul 2008 - 00:00","12 Jul 2008 - 23:59","185"
12,"879"," Industrial  Processes","Start: 26 Nov 2008 - 00:00 End: 29 Nov 2008 - 23:59 Modern industrial processes have to be designed and operated with a high level of understanding and in an optimal manner  given the highly globalized and competitive milieu  and the increasing enforcement of rigorous  environmental standards. There is a tremendous need to comprehend not only the physical and chemical principles underlying a process  but also to translate this understanding into a mathematical form  solve the resulting equations and interpret/apply the results towards process improvement. The field of mathematical modelling has seen significant progress  both in terms of techniques of modelling as well as in the ability to handle complex models. Thus it is possible in many instances today to reduce actual experimentation to a minimum and obtain the required information through numerical experimentation on the mathematical model.","meena_m_n","18 Feb 2009 - 11:30","18 Feb 2009 - 14:29","SERC School/CEP Course/Workshop","Invited Speakers","MODELING  ANALYSIS AND OPTIMIZATION OF INDUSTRIAL PROCESSES","Computer Aided Instruction classroom in ChE","26 Nov 2008 - 00:00","29 Nov 2008 - 23:59","185"
13,"880","Piping Engg.","Start: 10 Dec 2008 - 00:00 End: 23 Dec 2008 - 23:59 Piping Engineering is a truly multidisciplinary subject.It draws its knowledge base from chemical mechanical  civil  electrical  metallurgical  instrumentation  control engineering  to name a few. Piping Elements & Specialties raditionally  chemical or mechanical engineers have taken to this profession and it is believed that about 10 years on­job experience and exposure can make a few gifted ones ‘piping engineers’ in real sense. ","meena_m_n","18 Feb 2009 - 11:38","18 Feb 2009 - 12:43","SERC School/CEP Course/Workshop","Invited Speakers","PIPING ENGINEERING",,"10 Dec 2008 - 00:00","23 Dec 2008 - 23:59","185"
14,"881","Piping Course","Start: 6 May 2009 - 09:00 End: 19 May 2009 - 18:00 Piping   Engineering   is  a   truly   multidisciplinary   subject.It  draws   its  knowledge  base   from chemical  mechanical   civil    electrical    metallurgical    instrumentation  control  engineering    to   name   a   few. Piping Elements & Specialties raditionally  chemical or mechanical engineers have taken to this profession and it is believed that about 10 years on­job experience and exposure can make a few gifted ones ‘piping engineers’ in real  sense.  Contact: Prof. A S Moharir","meena_m_n","18 Feb 2009 - 11:44","5 May 2009 - 22:51","SERC School/CEP Course/Workshop","Invited Speakers","Piping Engineering Course","Chemical Engineering","6 May 2009 - 09:00","19 May 2009 - 18:00","185"
15,"882","Prof. Lorenz T. Biegler's Talk","Start: 11 Dec 2007 - 15:00 End: 11 Dec 2007 - 16:30  Optimization formulations play a key part in many aspects of chemical process engineering. Moreover  with the application of more accurate and complex process models  a number of important algorithmic challenges must be addressed to deal with these optimization models efficiently. This talk presents an overview of problem classes in chemical process optimization and discusses key characteristics of these problems. In particular  a hierarchy of optimization models is explored  and typical problem formulations and solution strategies are presented at each level of this hierarchy. Along with sketching the relevant solution strategies  a number of challenging cases are presented including data assimilation of municipal water networks  cyclic adsorption processes and real-time optimization of polymerization processes. These are presented in parallel with leading edge research in continuous variable optimization  including extensions of large-scale interior point methods.","meena_m_n","18 Feb 2009 - 11:55","18 Feb 2009 - 15:35","Seminar/Talk","Prof. Lorenz T. Biegler ","Optimization Methods for Chemical Process Engineering","P. C. Saxena Auditorium","11 Dec 2007 - 15:00","11 Dec 2007 - 16:30","185"
16,"883","Prof. Lorenz T. Biegler's Talk","Start: 12 Dec 2007 - 15:30 End: 12 Dec 2007 - 16:30  We present a primal-dual interior point algorithm with a filter line search method for nonlinear programming. Local and global convergence properties of this method were analyzed in previous work. Here we provide a comprehensive description of the method including strategies for second order corrections  filter restoration phase  scaling and inertia correction of the KKT matrix. This method has been implemented in the IPOPT code  which can be downloaded from http://www.coin-or.org. The code has been demonstrated on a broad variety of applications and engineering case studies. These are highlighted in the talk. These results demonstrate very favorable performance of IPOPT.","meena_m_n","18 Feb 2009 - 11:57","18 Feb 2009 - 15:36","Seminar/Talk","Prof. Lorenz T. Biegler ","Recent Advances in Barrier Methods in Nonlinear Programming ","CDEEP Seminar Hall  KRESIT (3rd floor)","12 Dec 2007 - 15:30","12 Dec 2007 - 16:30","185"
17,"884","Prof. Lorenz T. Biegler's Talk ","Start: 13 Dec 2007 - 15:30 End: 13 Dec 2007 - 16:30  Model discrimination  parameter estimation and statistical inference require the formulation and efficient solution of nonlinear programming (NLP) problems. Frequently  these problems are ill-posed due to over-parameterized models or data with incomplete information. These characteristics lead to failure of many popular NLP codes. This talk presents some basic parameter estimation methods that can also handle structured features of ill-posed parameter estimation problems. These are treated with composite step trust region methods. A key point for both methods is that they have guaranteed convergence properties and allow further analysis for model building and discrimination.  Case studies based on parameter estimation in polymerization reactors are presented that illustrate these concepts.","meena_m_n","18 Feb 2009 - 12:00","18 Feb 2009 - 15:37","Seminar/Talk","Prof. Lorenz T. Biegler "," Trust Region Algorithms for Parameter Estimation ","CDEEP Seminar Hall  KRESIT (3rd floor)","13 Dec 2007 - 15:30","13 Dec 2007 - 16:30","185"
18,"885"," Prof. Lorenz T. Biegler's Talk","Start: 14 Dec 2007 - 11:00 End: 14 Dec 2007 - 12:00  Design under unknown information needs to consider two forms  variability of process operation over the life cycle of the process as well as uncertainty in the process model. These two sources affect the process differently and require a different treatment at the design stage. The optimal solution of these design problems also requires the application of large-scale process optimization strategies. This talk describes a two stage optimization strategy that includes both sources of uncertainty. The strategy consists of a discretization of an uncertainty description that leads to a multiperiod nonlinear program. Following this a feasibility test is introduced which checks for additional critical points. Uncertainty and Variability enter in different ways in this strategy. Finally  simple case studies are presented that illustrate this approach.","meena_m_n","18 Feb 2009 - 12:01","18 Feb 2009 - 15:38","Seminar/Talk","Prof. Lorenz T. Biegler "," Treatment of Unknown Information for Steady State Optimization ","CDEEP Seminar Hall  KRESIT (3rd floor)","14 Dec 2007 - 11:00","14 Dec 2007 - 12:00","185"
19,"893","Nano School","Start: 16 Dec 2008 - 00:00 End: 20 Dec 2008 - 23:59 Nanoparticles are the building blocks of nanotechnology and the advances in this important branch of science  crucially depends upon the ability to synthesize these particles  on an industrial scale  in a controlled and reproducible manner. The formation of nanoparticles is a fairly well researched  frontier area in which many chemical engineers work. This has resulted in  a whole body of work which is very novel and challenging. Whereas  some apsects of nanoparticles formation and characterization are well understood  there are many issues that are still being investigated. For instance  while the production of spherical nanoparticles is understood reasonably well  the emergence of anisotropy or the possibility of formation of complex (core-shell  tubes) are topics of much work. Such a situation  provides for a very fertile ground for promoting research in this area  especially more so in view of governmental initiatives to promote Nanotechnology as a thrust area of national importance.","meena_m_n","18 Feb 2009 - 14:24","18 Feb 2009 - 14:24","SERC School/CEP Course/Workshop","Invited Speakers","Synthesis  Characterization and applications of Nanoparticles","Room No. 218","16 Dec 2008 - 00:00","20 Dec 2008 - 23:59","185"
20,"5901"," Prof. Madhukar O. Garg's Talk","Start: 26 Oct 2017 - 17:00 End: 26 Oct 2017 - 18:00 Title : Simultaneous Production of High Purity Benzene and U.S Grade Gasoline from C6 Heart Cut of FCC Gasoline 1000 Days from Concept to Commissioning. Date & Time : Thursday  October 26 at 5pm  Venue : Room 118  Chemical Engg Dept  Abstract: The MSAT – II regulations active since January 1  2011  restricts the annual average benzene level in Gasoline sold in the USA  (except California) to 0.62 % vol. Currently FCC gasoline comprises  nearly 20 % of the gasoline pool in a typical refinery. Full range FCC  gasoline contains 15-30 vol. % aromatics with around 2 vol. % benzene  and 1000 – 2000 ppm sulfur. A narrow C6 heart cut fraction of the full  range gasoline will   therefore  contain anywhere between 11 – 19 wt. %  benzene and up to 500 ppm sulfur. Unprocessed FCC Gasoline contains  reactive impurities like oxygenates  metals  chlorides  sulphur  compounds  nitrogen compounds  di-olefins and organic peroxides. The  complexity of this feedstock has hindered the development and  commercialization of an economic and reliable process for removal and  recovery of benzene from FCC gasoline. Present day technologies  such  as  hydro-processing (for benzene reduction) result in olefin  saturation  which is undesirable  as it lowers the octane barrels in the  final gasoline pool. Reliance Industries Ltd (RIL) produces ~33 000 Tonnes per day of  gasoline from its two world class refineries at Jamnagar  India. The two  world largest 200 000 bpsd FCC units in this refinery produce the FCC  De-Isohexaniser side cut  which is the major contributor of Benzene in  the gasoline pool. It thus seemed imperative to remove benzene from this  stream to meet the above-mentioned benzene limit on the gasoline pool.  Reliance approached us for finding a cost effective scientific solution  to this problem. After establishing the technical feasibility and a  proof of concept  several optimization studies and rigorous  experimentation were carried out leading to the development of first of  its kind for simultaneous production of high purity benzene and U.S  grade gasoline. The process developed serves a dual role of recovering high purity  benzene and producing environmental friendly gasoline from FCC C6 heart  cut stream using extractive distillation without the requirement of any  prior hydrogenation or pre-processing step to saturate di-olefins in  feedstock and reduce impurities. The indigenous technology was granted a  U.S Patent (US. 8722952 B2). A ~0.7 MMTPA (17.4 KBPSD) plant based on  this technology was commissioned in Reliance Industries refinery at  Jamnagar  India in May 2016. A Performance Guarantee Test Run was  conducted by RIL in September 2016 for 72 hours  wherein the unit was  operated at full design throughput. The unit consistently produced a  raffinate product consisting less than 0.2 % benzene and an aromatics  rich extract product with > 97 wt. % benzene along with high recovery (>  99 wt. %) of aromatics in the extract stream. The sulfur content of the  aromatics lean raffinate stream was also observed to be less < 5 ppmw   thus reducing the CAPEX and OPEX of post processing to meet sulfur  specifications. This technology  which has now been proved at a world scale  is now  available for licensing. Huge benefits can be derived by producers who  already have an existing benzene recovery unit  which can be revamped /  optimized at very low cost to process complex feedstocks like FCC  gasoline based on this technology. In the presentation  the author will highlight the extraordinary  journey of this innovative technology development  starting from proof  of concept study to plant commissioning  all accomplished within a  period of 1000 days. It provides valuable insights in understanding the  requirements of the client and to provide a solution based on sound  scientific principles backed up by world class engineering skills. Bio: Dr M O Garg  is an acknowledged expert in petroleum refining and  petrochemicals and has been instrumental in developing and  commercializing large number of technologies in the Indian refineries. A  graduate from Nagpur University and a post graduate from IIT Kanpur  he  did his Ph.D. with Prof H R C Pratt at University of Melbourne in  Solvent Extraction. He served Engineers India Limited in the Research  and Development Centre till 1994 and then Technip KTI for four years  before joining IIP in 1998. He has been Director of the Indian Institute  of Petroleum since August 2003 to February  2016 and also officiated as  Director General of CSIR from February to August 2015. His areas of  specialization include solvent extraction  process integration  advanced  control  simulation and modeling  besides the ability to conceive  research ideas and taken them to commercialization. He has won several prestigious awards including OceanTex Excellence  Award  CSIR Technology Awards and has published more than 260 papers in  refereed journals and 50 national and international patents. He has been  elected Fellow of the Indian National Academy of Engineers. He is  currently Professor   Chemical Engineering at IIT Bombay.","webmaster","24 Oct 2017 - 08:12","24 Oct 2017 - 08:17","Seminar/Talk","Prof. Madhukar O. Garg  Department of Chemical Engineering   IIT Bombay","Simultaneous Production of High Purity Benzene and U.S Grade  Gasoline from C6 Heart Cut of FCC Gasoline 1000 Days from Concept to  Commissioning","Room 118  Chemical Engg Dept","26 Oct 2017 - 17:00","26 Oct 2017 - 18:00","185"
21,"930","Dr. Sachin Jain's Talk ","Start: 5 Mar 2009 - 16:00 End: 5 Mar 2009 - 17:00 It is well established that  above a certain threshold value for the molar mass Mc  the terminal (zero shear) viscosity 0 of polymer melts scales with molar mass to the power 3.4. The strong increase of the viscosity with increasing molar mass is related to entanglement coupling and the presence of a physical entanglement network characterized by an average molar mass between the physical crosslinks  Me  between the macromolecules. But high molar masses are required for materials properties  notably toughness and strength  rendering the production of polymer products an area of unfortunate compromises. Therefore  we designed a novel approach which would enable high molar mass materials to flow better without compromising the properties. The melt viscosity of poly(propylene) is found to reduce dramatically through the addition of a minute amount of silica nanoparticles. We attribute this unique effect to “selective adsorption of high molar mass polymer chains” on the surface of the nanofillers. This represents a paradigm shift regarding commonly-accepted relations between the molar mass and viscosity of molten polymers (Einstein’s equation). This particular rheological behaviour is accompanied by strong effect on the crystallization behaviour during flow. The flow-induced crystallization (FIC) behavior of nanocomposites has been studied using in-situ SAXS and WAXD. The viscosity drop caused by the selective adsorption provides the possibility of creating a more uniform and isotropic morphology in a product. The X-ray scattering study shows that orientation is minimal at 0.5 wt% silica concentration  at which the viscosity also shows a minimum. In comparison to pure PP  the flow-induced crystallization is faster in silica-filled PP  but this enhancement is lowest for the concentration where the orientation is minimal. Biography of Sepaker Sachin Jain is a Resarch Scientist at Global Polymer Research at BASF-SE  Ludwigshafen in Germany since 2005. He is working on polymer nanocomposites within the domain of exploratory research and product development for engineering plastics. He received his Bacelor’s degree in Polymer Engineering from Maharashtra Institue of Technology  Pune  India in 1998. He then obtained his Masters degree with major in Polymer Engineering from University of Akron  Akron  OH  USA under the supervision of Prof. Dr. Sadhan Jana.in 2000. Later  he pursued his doctoral studies in Polymer Technology from Eindhoven University of Technlogy  Eindhoven  The Netherlands in the group of Prof. Lemstra and Prof. Meijer and received PhD in 2005 which resulted in 2 patents and several publications. His thesis was nominated for the Golden Thesis award by Dutch polymer insistute from over 50 PhD theses in the area of polymers. Before continuing for PhD studies  he spent a year at Dai-nippon Ink and Chemicals Inc  at Sakura-chi  Japan working as research assistant. He has 18 patent applications (4 granted) and around 20 publications to his name and few more under preparation. His research interests include polymer nanocomposites  structural foams  novel polymer composites  structure-property-relationships of polymeric materials and characterization techniques.","soumyakant","3 Mar 2009 - 10:55","3 Mar 2009 - 12:39","Seminar/Talk","Dr. Sachin Jain Global Polymer Research  BASF-SE  Ludwigshafen  Germany","Nano-scale events with macroscopic effects in PP/silica nanocomposites","Creativity Hall  Room No -118","5 Mar 2009 - 16:00","5 Mar 2009 - 17:00","185"
